Watershed,TransectID,EdibleMass,SweepNumber,DateSampled,TimePeriod,BurnTreatment,GrazingTreatment,YrsSinceBurn
1B,4140,1.0008,1,5/28/14,Early,1,None,0
1B,4140,1.003854,2,5/28/14,Early,1,None,0
1B,10488,0.493751,1,5/28/14,Early,1,None,0
1B,10488,0.34219,2,5/28/14,Early,1,None,0
1B,10507,0.609869,1,5/28/14,Early,1,None,0
1B,10507,0.304194,2,5/28/14,Early,1,None,0
1B,4140,3.47,1,6/19/14,Mid,1,None,0
1B,4140,1.31,2,6/19/14,Mid,1,None,0
1B,10488,2.231554,1,6/19/14,Mid,1,None,0
1B,10488,0.976167,2,6/19/14,Mid,1,None,0
1B,10507,2.57,1,6/19/14,Mid,1,None,0
1B,10507,0.915918,2,6/19/14,Mid,1,None,0
1B,4140,4.420082,1,7/24/14,zLate,1,None,0
1B,4140,4.65,2,7/24/14,zLate,1,None,0
1B,10488,4.698707,1,7/24/14,zLate,1,None,0
1B,10488,3.32,2,7/24/14,zLate,1,None,0
1B,10507,5.23,1,7/24/14,zLate,1,None,0
1B,10507,5.19,2,7/24/14,zLate,1,None,0
2A,10542,1.931414,1,5/28/14,Early,2,None,0
2A,10542,1.641325,2,5/28/14,Early,2,None,0
2A,10560,1.078682,1,5/28/14,Early,2,None,0
2A,10560,0.651184,2,5/28/14,Early,2,None,0
2A,10571,0.983231,1,5/28/14,Early,2,None,0
2A,10571,0.679856,2,5/28/14,Early,2,None,0
2A,10542,4.56,1,6/19/14,Mid,2,None,0
2A,10542,1.789444,2,6/19/14,Mid,2,None,0
2A,10560,3.93,1,6/19/14,Mid,2,None,0
2A,10560,3.26,2,6/19/14,Mid,2,None,0
2A,10571,2.08,1,6/19/14,Mid,2,None,0
2A,10571,2.69,2,6/19/14,Mid,2,None,0
2A,10542,12,1,7/24/14,zLate,2,None,0
2A,10542,4.79,2,7/24/14,zLate,2,None,0
2A,10560,2.37,1,7/24/14,zLate,2,None,0
2A,10560,2.76,2,7/24/14,zLate,2,None,0
2A,10571,5.52,1,7/24/14,zLate,2,None,0
2A,10571,6.84,2,7/24/14,zLate,2,None,0
2D,10573,0.330443,1,5/23/14,Early,2,None,1
2D,10573,0.315724,2,5/23/14,Early,2,None,1
2D,10575,0.328815,1,5/23/14,Early,2,None,1
2D,10575,0.21059,2,5/23/14,Early,2,None,1
2D,10577,0.147814,1,5/23/14,Early,2,None,1
2D,10577,0.87422,2,5/23/14,Early,2,None,1
2D,10573,0.725316,1,6/20/14,Mid,2,None,1
2D,10573,0.620082,2,6/20/14,Mid,2,None,1
2D,10575,1.853904,1,6/20/14,Mid,2,None,1
2D,10575,0.71273,2,6/20/14,Mid,2,None,1
2D,10577,0.397959,1,6/20/14,Mid,2,None,1
2D,10577,0.352335,2,6/20/14,Mid,2,None,1
2D,10577,1.096376,2,7/22/14,zLate,2,None,1
2D,10573,0.944603,1,7/23/14,zLate,2,None,1
2D,10573,0.702281,2,7/23/14,zLate,2,None,1
2D,10575,0.419461,1,7/23/14,zLate,2,None,1
2D,10575,0.725002,2,7/23/14,zLate,2,None,1
2D,10577,3.362082,1,7/23/14,zLate,2,None,1
C3A,10493,3.77556,1,5/27/14,Early,3,Cattle,1
C3A,10489,4.0232,1,5/28/14,Early,3,Cattle,1
C3A,10489,5.3673,2,5/28/14,Early,3,Cattle,1
C3A,10491,3.3025,1,5/28/14,Early,3,Cattle,1
C3A,10491,2.5614,2,5/28/14,Early,3,Cattle,1
C3A,10493,3.90225,2,5/28/14,Early,3,Cattle,1
C3A,10489,4.654373,1,6/20/14,Mid,3,Cattle,1
C3A,10489,5.428238,2,6/20/14,Mid,3,Cattle,1
C3A,10491,7.41,1,6/20/14,Mid,3,Cattle,1
C3A,10491,1.846036,2,6/20/14,Mid,3,Cattle,1
C3A,10493,3.074398,1,6/20/14,Mid,3,Cattle,1
C3A,10493,7.31,2,6/20/14,Mid,3,Cattle,1
