ColorBands,Year,DispersalStatus,Diff_ConcTRIG,Diff_ResidTRIG
DS-OG,2014,disperser,-0.212834,0.386884263
DY-DS,2013,non-disperser,0.562002,0.881113786
GS-KD,2014,non-disperser,-0.138397,0.069626558
GS-KK,2014,non-disperser,-0.093811,-0.016090703
KG-KS,2015,non-disperser,-0.0854889,0.139168281
KO-OS,2014,non-disperser,-0.4276608,-0.509076724
KS-WG,2015,disperser,-0.08235,-0.221532811
KY-PS,2013,non-disperser,0.678673,0.075914818
OK-AS,2014,disperser,-0.019028,0.198125413
OR-KS,2015,non-disperser,0.199252,0.542527741
PS-GD,2014,disperser,0.409104,0.116883116
PS-RP,2014,disperser,0.62293,0.462807099
PY-DS,2014,disperser,-0.100493,-0.24841766
PY-YS,2014,disperser,0.054492,0.038163148
RG-SP,2015,non-disperser,0.6614724,0.291028161
RR-RS,2013,disperser,0.237405,0.312617353
SB-YK,2014,non-disperser,0.060039,-0.100563292
SG-OY,2014,non-disperser,-0.3904509,-0.698389492
SG-WR,2015,disperser,-0.291795,-0.358516947
SK-KK,2013,non-disperser,0.249851,-0.05158124
SY-AR,2013,disperser,-0.794253,0.14210042
WR-SK,2014,disperser,0.25875,-0.037598671
YY-SK,2014,disperser,0.2880789,0.271164055
